RAIN (mm),ET0 (mm),RHMIN (%),UD (m/s),p (%),N/n,Tmean (°C),D (KPa/°C),RN (MJ m-2 d-1),U2 (m/s),es (Kpa),ea (Kpa),g (KPa/°C),l (day-1),a (mm)
0,5.5,48,2.3,0.34,1,21.3,0.119613702,12.13,2.3,2.099087564,1.311016109,0.06994,0.1,15
0,5.5,48,2.3,0.34,1,20,0.111390583,11.91,2.3,2.037499076,1.253954798,,,
0,5.5,48,2.9,0.34,1,19.3,0.10716517,11.89,2.9,1.950420834,1.199859618,,,
0,5.5,24,4,0.34,1,22.6,0.128346027,13.49,4,2.334252899,1.00455629,,,
0,5.5,27,3.5,0.34,1,24.2,0.13982954,12.72,3.5,2.528544665,0.955163898,,,
0,5.5,41,2.7,0.34,1,21.6,0.121582762,11.65,2.7,2.197276232,1.270335293,,,
0,5.5,56,2.2,0.34,1,21.6,0.121582762,11.48,2.2,2.175392186,1.468701569,,,
0,5.5,56,2,0.34,1,22.8,0.129736238,11.75,2,2.313320082,1.558858712,,,
0,5.5,56,1.9,0.34,1,24.5,0.142076684,12.41,1.9,2.542517231,1.703787486,,,
0,5.5,46,2.4,0.34,1,26.4,0.157029902,12.54,2.4,2.840750158,1.687946237,,,
0,5.5,41,2.9,0.34,1,27.3,0.164564116,11.96,2.9,3.027573353,1.709585141,,,
0,5.5,44,2.5,0.34,1,26.6,0.158678489,12.67,2.5,2.883533694,1.683119943,,,
0,5.5,35,2.6,0.34,1,25.7,0.151373274,13.71,2.6,2.821656369,1.364635528,,,
0,5.5,42,2.5,0.34,1,24.5,0.142076684,12.86,2.5,2.564741704,1.432322278,,,
0,5.5,40,2.2,0.34,1,23.5,0.134702875,11.57,2.2,2.568061152,1.42711427,,,
0,5.5,47,3.3,0.34,1,21.5,0.120923378,11.61,3.3,2.159378442,1.299047691,,,
0,5.5,44,2.1,0.34,1,21.1,0.118316077,10.67,2.1,2.157172658,1.258261551,,,
0,5.5,38,2.5,0.34,1,21.5,0.120923378,11.82,2.5,2.135096238,1.154719193,,,
0,5.5,41,3.2,0.34,1,21.4,0.120267028,11.42,3.2,2.215902493,1.261164953,,,
17,5.5,47,2.9,0.34,1,21,0.117671756,11.63,2.9,2.070184182,1.227627152,,,
0,5.5,37,2.6,0.34,1,19.2,0.106572804,11.2,2.6,1.996467874,1.095251655,,,
8,5.5,40,2.3,0.34,1,20.7,0.115756623,12.45,2.3,2.132429058,1.179274439,,,
0,5.5,30,3.2,0.33,1,15.2,0.122245193,12.64,3.2,2.27087061,1.037819725,,,
0,5.5,36,2.6,0.33,1,17.2,0.129039547,11.99,2.6,2.361317534,1.206688802,,,
0,5.5,47,2.6,0.33,1,18.1,0.130436113,11.52,2.6,2.358444759,1.412013324,,,
0,5.5,42,2.2,0.33,1,17.9,0.121582762,10.79,2.2,2.244745499,1.287124333,,,
0,5.5,25,3.2,0.33,1,16.9,0.147439087,13.17,3.2,2.65464109,1.081130181,,,
0,5.5,29,3.1,0.33,1,20.6,0.161178758,12.13,3.1,2.958290925,1.134562822,,,
0,5.5,37,4.3,0.33,1,19.5,0.136880184,12.82,4.3,2.80294098,1.519422051,,,
0,5.5,48,4.1,0.33,1,19.2,0.128346027,12.28,4.1,2.625764569,1.592464413,,,
0,5.5,40,4.3,0.33,1,18.6,0.131139184,12.21,4.3,2.577666317,1.407403083,,,
0,5.5,51,2.9,0.33,1,17.9,0.131845461,11.64,2.9,2.363949653,1.470484495,,,
0,5.5,58,2.6,0.33,1,18.7,0.134702875,11.37,2.6,2.404040105,1.634320928,,,
0,5.5,64,2.6,0.33,1,19.7,0.138348211,11.21,2.6,2.495461927,1.792163833,,,
0,5.5,55,2.6,0.33,1,19.8,0.141324266,11.22,2.6,2.532739103,1.67741423,,,
0,5.5,49,2.5,0.33,1,20.1,0.140575222,11.05,2.5,2.565189732,1.60589232,,,
0,5.5,39,3.1,0.33,1,18.9,0.144354298,11.98,3.1,2.618803229,1.385304446,,,
0,5.5,27,3.3,0.33,1,18,0.157029902,12.86,3.3,2.811731372,1.149811309,,,
0,5.5,27,3.2,0.33,1,20,0.150579419,11.49,3.2,2.756507063,1.190452047,,,
6,5.5,29,3.2,0.33,1,18.2,0.13982954,11.52,3.2,2.498722249,1.191460441,,,
0,5.5,43,2.9,0.33,1,19.1,0.138348211,11.36,2.9,2.536347992,1.449208215,,,
12,5.5,52,2.8,0.33,1,18.6,0.138348211,11.53,2.8,2.477982972,1.563919357,,,
0,5.5,47,3.5,0.33,1,18.5,0.131845461,12.08,3.5,2.581146083,1.550882701,,,
0,5.5,38,2.7,0.33,1,19.5,0.14900226,12.43,2.7,2.859650675,1.46288769,,,
0,5.5,43,2.7,0.33,1,20,0.148218932,11.18,2.7,2.642803198,1.533023278,,,
0,5.5,55,2.6,0.33,1,20.5,0.148218932,11.04,2.6,2.653420146,1.754912901,,,
0,5.5,57,2.6,0.33,1,20.5,0.149789085,10.91,2.6,2.636657828,1.767854525,,,
0,5.5,54,2.5,0.33,1,21.3,0.155395803,10.93,2.5,2.758728321,1.809068364,,,
0,5.5,60,2.4,0.33,1,21.7,0.161178758,11.21,2.4,2.852857808,1.951051695,,,
0,5.5,57,2,0.33,1,22,0.16800928,11.57,2,2.972163613,1.99267849,,,
0,5.5,52,2,0.33,1,22.8,0.167142336,11.55,2,3.117582392,1.967498438,,,
0,5.5,48,2.2,0.33,1,22.1,0.162019536,10.46,2.2,2.849856953,1.701447976,,,
0,5.5,25,4.4,0.33,1,24.2,0.175082383,10.26,4.4,3.267556683,1.327115205,,,
0,5.5,27,4.7,0.31,1,28.6,0.175983915,10.42,4.7,3.292503434,1.230059006,,,
0,5.5,26,3.3,0.31,1,27.9,0.16975455,10.52,3.3,3.163663355,1.252029437,,,
0,5.5,39,2.9,0.31,1,27.3,0.164564116,10.68,2.9,3.015317324,1.582734327,,,
0,5.5,40,2.5,0.31,1,26.8,0.160341666,10.49,2.5,2.802651725,1.600093296,,,
0,5.5,45,2.4,0.31,1,27,0.162019536,10.67,2.4,2.859197683,1.70633771,,,
0,5.5,49,2.3,0.31,1,27.2,0.163712202,10.98,2.3,2.939019093,1.775542186,,,
3.3,5.5,57,2.1,0.31,1,27.8,0.168880013,10.64,2.1,3.036661335,1.997869128,,,
0,5.5,44,2.4,0.31,1,28.4,0.174184748,10.76,2.4,3.117582392,1.775817779,,,
0,5.5,32,3.7,0.31,1,26.8,0.160341666,12.26,3.7,3.248481019,1.540752818,,,
0,5.5,39,2.5,0.31,1,24.8,0.144354298,11.05,2.5,2.775144517,1.497113506,,,
0,5.5,41,2.7,0.31,1,26.4,0.157029902,10.98,2.7,2.929242016,1.559620555,,,
0,5.5,50,2.5,0.31,1,25.7,0.151373274,9.79,2.5,2.712765647,1.651220967,,,
0,5.5,45,2.4,0.31,1,25.4,0.14900226,9.99,2.4,2.695990041,1.569871853,,,
0,5.5,53,2.6,0.31,1,25.9,0.152971596,9.66,2.6,2.788021295,1.79485615,,,
0,5.5,36,4.6,0.31,1,27.1,0.162864013,10.31,4.6,3.100651802,1.540979511,,,
0,5.5,32,4.3,0.31,1,26.9,0.161178758,9.69,4.3,3.104146821,1.434411433,,,
0,5.5,41,2.9,0.31,1,26.2,0.155395803,9.92,2.9,2.86003437,1.553761001,,,
0,5.5,46,2.6,0.31,1,26,0.15377609,9.86,2.6,2.812234965,1.607809882,,,
13,5.5,40,2.6,0.31,1,25.7,0.151373274,9.73,2.6,2.791892806,1.531122239,,,
0,5.5,42,3.4,0.31,1,25,0.145889799,9.42,3.4,2.66775605,1.483331699,,,
0,5.5,36,5.2,0.31,1,25.3,0.148218932,10.18,5.2,2.726674874,1.434544317,,,
0,5.5,32,4.2,0.31,1,26,0.15377609,8.91,4.2,2.992791849,1.41950085,,,
0,5.5,50,2.7,0.31,1,25.1,0.146662713,9.28,2.7,2.684433215,1.659861498,,,
0,5.5,53,2.3,0.31,1,24.9,0.145120331,9.19,2.3,2.633928686,1.668137823,,,
0,5.5,56,2.9,0.31,1,22.1,0.124925606,9.08,2.9,2.455863253,1.658371773,,,
11,5.5,61,2.1,0.31,1,24.7,0.143591687,8.98,2.1,2.551633688,1.774636396,,,
14,5.5,51,2,0.31,1,24.5,0.142076684,8.81,2,2.709999856,1.763246836,,,
1,5.5,48,2.5,0.31,1,23.5,0.134702875,8.76,2.5,2.482139291,1.573065661,,,
0,5.5,36,2.8,0.31,1,22.4,0.126968458,8.91,2.8,2.391476331,1.232208118,,,
0,5.5,39,3.3,0.31,1,24,0.138348211,8.82,3.3,2.556013686,1.372217778,,,
0,5.5,28,3.5,0.31,1,24.5,0.142076684,8.71,3.5,2.704612629,1.264468855,,,
0,5.5,24,3.2,0.28,1,24,0.138348211,8.16,3.2,2.656770424,1.16603392,,,
0,5.5,31,3.2,0.28,1,24.3,0.140575222,8.82,3.2,2.614414075,1.207678701,,,
0,5.5,31,3.2,0.28,1,24.3,0.033511334,3.25,4.2,2.614414075,1.207678701,,,
0,5.5,23,4,0.28,1,26,0.15377609,8.58,4,2.937629036,1.042228434,,,
0,5.5,33,3.2,0.28,1,24.1,0.139087207,8.63,3.2,2.671394279,1.338857245,,,
0,5.5,37,2.7,0.28,1,24.3,0.140575222,8.28,2.7,2.639640777,1.339223948,,,
0,5.5,41,2.9,0.28,1,24.4,0.141324266,8.22,2.9,2.600108213,1.417118783,,,
0,5.5,56,2.4,0.28,1,24.4,0.141324266,8.14,2.4,2.576311345,1.696323013,,,
0,5.5,58,2.2,0.28,1,23.7,0.136151129,7.96,2.2,2.508660871,1.744423638,,,
0,5.5,61,1.7,0.28,1,24,0.138348211,7.08,1.7,2.507246614,1.831478394,,,
0,5.5,59,2.3,0.28,1,23.3,0.133267683,7.14,2.3,2.408537993,1.685830814,,,
0,5.5,50,2.6,0.28,1,21.9,0.123579239,7.15,2.6,2.235377282,1.455062865,,,
0,5.5,48,2.7,0.28,1,20.8,0.11639204,7.23,2.7,2.144980664,1.318560093,,,
0,5.5,44,2.9,0.28,1,20.9,0.117030414,7.4,2.9,2.155589613,1.242144964,,,
0,5.5,49,2.8,0.28,1,21,0.117671756,7.25,2.8,2.131619109,1.291945307,,,
13,5.5,45,2.4,0.28,1,21.5,0.120923378,6.8,2.4,2.220670124,1.339818257,,,
0,5.5,46,3.5,0.28,1,20.8,0.11639204,7.01,3.5,2.110617884,1.298159377,,,
0,5.5,52,2.9,0.28,1,19.7,0.109562687,7.08,2.9,1.976002022,1.223243048,,,
0,5.5,62,2.6,0.28,1,21.4,0.120267028,6.61,2.6,2.19038403,1.577537654,,,
23,5.5,39,2.8,0.28,1,21.2,0.118963389,6.84,2.8,2.229328938,1.22865648,,,
0,5.5,26,3,0.28,1,22,0.124250877,6.83,3,2.413724681,1.054490771,,,
0,5.5,27,4.4,0.28,1,21.5,0.120923378,6.06,4.4,2.127131723,0.860073653,,,
0,5.5,37,3.1,0.28,1,19.6,0.108959078,6.37,3.1,2.022224643,1.028431583,,,
0,5.5,34,3.1,0.28,1,19.2,0.106572804,6.55,3.1,1.972333343,1.004116366,,,
0,5.5,57,2.5,0.28,1,19.5,0.108358296,6.38,2.5,1.994527529,1.324399138,,,
0,5.5,55,2.3,0.28,1,20,0.111390583,6.34,2.3,2.029883719,1.344026604,,,
